Title,Company,Location,Experience,Summary,Skills,Posting_Date,Job_URL,Job_Type,Scraped_Timestamp,Processed_Skill_Tokens,Skills_For_TFIDF,Cluster_Label
AI Solutions Engineer,Thomson Reuters Corporation,"Hyderabad, Telangana, India",2-4 year,About the Role ​Familiarizing and adopting work methodology aligning with the existing ACoE organization. Contributing to the Solutioning/POCs for key initiatives already...,"Aartificial intelligence,AWS,JavaScript,Microsoft Office suites,Natural Language Processing (NLP),Python Programming,TypeScript",10 May 2025,https://www.karkidi.com/job-details/89373-ai-solutions-engineer-job,Full Time,2025-05-20T17:57:07.936215,"['aartificial intelligence', 'aws', 'javascript', 'microsoft office suites', 'natural language processing', 'python programming', 'typescript']",aartificial intelligence aws javascript microsoft office suites natural language processing python programming typescript,0
Sr. Data Steward - Privacy Operations.,Thomson Reuters Corporation,"Bengaluru, Karnataka, India",6-8 year,"We are seeking a detail-oriented and experienced Lead to join our Data Integrity & Identity team. This team is an enabling function within our Responsible AI pillar, focused on helping business...","Aartificial intelligence,Azure,DevOps,Effective communication skills,Microsoft Office suites,Microsoft-Excel,PowerBI,Powerpoint",10 May 2025,https://www.karkidi.com/job-details/89370-sr-data-steward-privacy-operations-job,Full Time,2025-05-20T17:57:07.936973,"['aartificial intelligence', 'azure', 'devops', 'effective communication skills', 'microsoft office suites', 'microsoft-excel', 'powerbi', 'powerpoint']",aartificial intelligence azure devops effective communication skills microsoft office suites microsoft-excel powerbi powerpoint,0
Sr Product Portfolio Analyst - Portfolio Management,Thomson Reuters Corporation,"Hyderabad, Telangana, India",6-8 year,We are seeking an innovative professional to join our team as a Sr Product Portfolio Analyst within the CPO Organization at Thomson Reuters. This role is ideal for an individual who possesses a...,"Aartificial intelligence,Data science techniques,Database,Large Language Models - LLMs,Machine learning techniques,Microsoft-Excel,Operations,PowerBI,Product Analytics,Product Management",10 May 2025,https://www.karkidi.com/job-details/89369-sr-product-portfolio-analyst-portfolio-management-job,Full Time,2025-05-20T17:57:07.937548,"['aartificial intelligence', 'data science techniques', 'database', 'large language models - llms', 'machine learning techniques', 'microsoft-excel', 'operations', 'powerbi', 'product analytics', 'product management']",aartificial intelligence data science techniques database large language models - llms machine learning techniques microsoft-excel operations powerbi product analytics product management,0
Senior Data Migration Analyst,Thomson Reuters Corporation,"Hyderabad, Telangana, India",6-8 year,"As an employee at Thomson Reuters, you will play a role in shaping and leading the global knowledge economy. Our technology drives global markets and helps professionals around the world make...","Alteryx,Data Analytics,Data science techniques,Data Visualization,ETL frameworks,IT,Microsoft-Excel,PowerBI,SQL,Tableau",10 May 2025,https://www.karkidi.com/job-details/89365-senior-data-migration-analyst-job,Full Time,2025-05-20T17:57:07.938143,"['alteryx', 'data analytics', 'data science techniques', 'data visualization', 'etl frameworks', 'it', 'microsoft-excel', 'powerbi', 'sql', 'tableau']",alteryx data analytics data science techniques data visualization etl frameworks it microsoft-excel powerbi sql tableau,4
Data Engineering Manager,Thomson Reuters Corporation,"Hyderabad, Telangana, India",4-6 year,"The Manager, Software Development Engineering leads a team of technical experts in successfully executing technology projects and solutions that align with the strategy and have broad business...","Analytical and Problem solving,Apache Hadoop,AWS,Big Data Technology,Data Engineering,Data management,Data Visualization,Effective communication skills,Google BigQuery,Java Programming,Machine learning techniques,Python Programming,React.js,Scala Programming,SPARK Programming",10 May 2025,https://www.karkidi.com/job-details/89364-data-engineering-manager-job,Full Time,2025-05-20T17:57:07.938720,"['analytical and problem solving', 'apache hadoop', 'aws', 'big data technology', 'data engineering', 'data management', 'data visualization', 'effective communication skills', 'google bigquery', 'java programming', 'machine learning techniques', 'python programming', 'react.js', 'scala programming', 'spark programming']",analytical and problem solving apache hadoop aws big data technology data engineering data management data visualization effective communication skills google bigquery java programming machine learning techniques python programming react.js scala programming spark programming,5
Software Engineer,Circana,"Pune, Maharashtra, India",2-4 year,"Let’s be unstoppable together! At Circana, we are fueled by our passion for continuous learning and growth, we seek and share feedback freely, and we celebrate victories both big and small...","Analytical and Problem solving,Apache Hadoop,Apache Hive,Effective communication skills,ETL frameworks,Oracle,PostgreSQL,Scala Programming,SPARK Programming,SQL",9 May 2025,https://www.karkidi.com/job-details/89361-software-engineer-job,Full Time,2025-05-20T17:57:07.939315,"['analytical and problem solving', 'apache hadoop', 'apache hive', 'effective communication skills', 'etl frameworks', 'oracle', 'postgresql', 'scala programming', 'spark programming', 'sql']",analytical and problem solving apache hadoop apache hive effective communication skills etl frameworks oracle postgresql scala programming spark programming sql,2
Engineering Manager,Circana,"Bangalore, Karnataka, India; Pune, Maharashtra, India",16-18 year,"Let’s be unstoppable together! At Circana, we are fueled by our passion for continuous learning and growth, we seek and share feedback freely, and we celebrate victories both big and small...","Apache Hadoop,Effective communication skills,SPARK Programming",9 May 2025,https://www.karkidi.com/job-details/89360-engineering-manager-job,Full Time,2025-05-20T17:57:07.939936,"['apache hadoop', 'effective communication skills', 'spark programming']",apache hadoop effective communication skills spark programming,5
Senior Software Engineer,Circana,"Bangalore, Karnataka, India",4-6 year,"Let’s be unstoppable together! At Circana, we are fueled by our passion for continuous learning and growth, we seek and share feedback freely, and we celebrate victories both big and small...","Analytical and Problem solving,Apache Hive,Effective communication skills,PySpark,Python Programming,Scala Programming,Shell Scripting language,SPARK Programming,SQL",9 May 2025,https://www.karkidi.com/job-details/89359-senior-software-engineer-job,Full Time,2025-05-20T17:57:07.940535,"['analytical and problem solving', 'apache hive', 'effective communication skills', 'pyspark', 'python programming', 'scala programming', 'shell scripting language', 'spark programming', 'sql']",analytical and problem solving apache hive effective communication skills pyspark python programming scala programming shell scripting language spark programming sql,2
"Associate Software Developer, Machine Learning",Kinaxis,"Chennai, Tamil Nadu, India",0-2 year,The team is responsible for applying machine learning algorithms to develop intelligent supply chains. The uniqueness of the team is that it performs at the intersection of technology and real...,"AWS,Azure,Docker,Effective communication skills,Google Cloud Platform (GCP),Kubernetes-K8s,Machine learning techniques,Pandas,Python Programming",9 May 2025,https://www.karkidi.com/job-details/89345-associate-software-developer-machine-learning-job,Full Time,2025-05-20T17:57:07.941135,"['aws', 'azure', 'docker', 'effective communication skills', 'google cloud platform', 'kubernetes-k8s', 'machine learning techniques', 'pandas', 'python programming']",aws azure docker effective communication skills google cloud platform kubernetes-k8s machine learning techniques pandas python programming,3
"Staff Service Reliability Engineer - Python, Splunk & Datascience - 14 to 18 years - Bangalore",Cisco,"Bangalore, Karnataka, India",14-16 year,"We are seeking a highly skilled Staff Service Reliability Engineer to lead the deployment and optimization of Splunk for monitoring non-production, Engineering research and development equipment...","Aartificial intelligence,Data science techniques,Deep Learning,IT,Machine learning techniques,Python Programming,Splunk",8 May 2025,https://www.karkidi.com/job-details/89331-staff-service-reliability-engineer-python-splunk-datascience-14-to-18-years-bangalore-job,Full Time,2025-05-20T17:57:07.941695,"['aartificial intelligence', 'data science techniques', 'deep learning', 'it', 'machine learning techniques', 'python programming', 'splunk']",aartificial intelligence data science techniques deep learning it machine learning techniques python programming splunk,0
Software Engineering Technical Leader: AI/ML Platform Experience ( Golang/Python + DSA + Kubernetes ),Cisco,"Bangalore, Karnataka, India",10-12 year,"We are seeking a leader to define the architecture for our Kubernetes platform, mentor a team of junior software engineers, and drive expertise in AI/ML. In this role, you will design and develop...","Aartificial intelligence,Continuous Integration & Continuous Delivery - CI/CD,GoLang,Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques,MLOps tools,Python Programming",8 May 2025,https://www.karkidi.com/job-details/89330-software-engineering-technical-leader-ai-ml-platform-experience-golang-python-dsa-kubernetes-job,Full Time,2025-05-20T17:57:19.573809,"['aartificial intelligence', 'continuous integration continuous delivery - ci cd', 'golang', 'kubernetes-k8s', 'large language models - llms', 'machine learning techniques', 'mlops tools', 'python programming']",aartificial intelligence continuous integration continuous delivery - ci cd golang kubernetes-k8s large language models - llms machine learning techniques mlops tools python programming,3
Sr. Data Scientist,PayPal,"Bangalore, Karnataka, India; Chennai, Tamil Nadu, India",4-6 year,"Your way to impact You believe in data-driven decisions and use data to answer business questions You are hyper-analytical, intellectually honest, and extremely passionate about...","Data science techniques,Effective communication skills,Leadership Skill,Python Programming,R Programming,SQL,Writing",8 May 2025,https://www.karkidi.com/job-details/89310-sr-data-scientist-job,Full Time,2025-05-20T17:57:19.574561,"['data science techniques', 'effective communication skills', 'leadership skill', 'python programming', 'r programming', 'sql', 'writing']",data science techniques effective communication skills leadership skill python programming r programming sql writing,4
Director Data Science & Data Engineering,eBay,"Bengaluru, Karnataka, India",12-14 year,About the Role We're reimagining how people discover products in eCommerce—and we're looking for a visionary leader who blends technical depth with product intuition. If you're passionate...,"Aartificial intelligence,Data Engineering,Data pipelines,Data science techniques,Ecommerce,Large Language Models - LLMs,Python Programming,SQL",8 May 2025,https://www.karkidi.com/job-details/89299-director-data-science-data-engineering-job,Full Time,2025-05-20T17:57:19.575254,"['aartificial intelligence', 'data engineering', 'data pipelines', 'data science techniques', 'ecommerce', 'large language models - llms', 'python programming', 'sql']",aartificial intelligence data engineering data pipelines data science techniques ecommerce large language models - llms python programming sql,0
"Sr. Mngr, Knowledge Management Science",eBay,"Bengaluru, Karnataka, India",8-10 year,"We’re building the future of eCommerce product discovery, and we need a data-driven, AI-savvy problem solver to help us, do it. This is an outstanding role at the intersection of data...","Aartificial intelligence,Data science techniques,Ecommerce,Effective communication skills,Machine learning techniques,Python Programming,SQL",8 May 2025,https://www.karkidi.com/job-details/89298-sr-mngr-knowledge-management-science-job,Full Time,2025-05-20T17:57:19.575892,"['aartificial intelligence', 'data science techniques', 'ecommerce', 'effective communication skills', 'machine learning techniques', 'python programming', 'sql']",aartificial intelligence data science techniques ecommerce effective communication skills machine learning techniques python programming sql,4
Senior Manager Data Science,eBay,"Bengaluru, Karnataka, India",4-6 year,"At eBay, we're more than a global ecommerce leader — we’re changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the...","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Python Programming,SQL",8 May 2025,https://www.karkidi.com/job-details/89297-senior-manager-data-science-job,Full Time,2025-05-20T17:57:19.576494,"['aartificial intelligence', 'data science techniques', 'large language models - llms', 'python programming', 'sql']",aartificial intelligence data science techniques large language models - llms python programming sql,0
"Data Scientist, Knowledge management",eBay,"Bengaluru, Karnataka, India",4-6 year,"About Team and role We’re building the future of eCommerce product discovery, and we need a data-driven, AI-savvy problem solver to help us, do it. This is a unique role at the...","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Python Programming,SQL",8 May 2025,https://www.karkidi.com/job-details/89296-data-scientist-knowledge-management-job,Full Time,2025-05-20T17:57:19.577099,"['aartificial intelligence', 'data science techniques', 'large language models - llms', 'machine learning techniques', 'python programming', 'sql']",aartificial intelligence data science techniques large language models - llms machine learning techniques python programming sql,0
"Principal MTS, Machine Learning T28",eBay,"Bengaluru, Karnataka, India",10-12 year,"The Product Knowledge team is at the epicenter of eBay’s Tech-driven, Customer-centric overhaul. Our team is entrusted with creating and using eBay’s Product Knowledge - a vast Big Data system...","Big Data Technology,Data pipelines,Java Programming,Leadership Skill,Machine learning techniques,Python Programming,Scala Programming",8 May 2025,https://www.karkidi.com/job-details/89295-principal-mts-machine-learning-t28-job,Full Time,2025-05-20T17:57:19.577718,"['big data technology', 'data pipelines', 'java programming', 'leadership skill', 'machine learning techniques', 'python programming', 'scala programming']",big data technology data pipelines java programming leadership skill machine learning techniques python programming scala programming,5
"Manager, ML Engineering Tech Leader T27",eBay,"Bengaluru, Karnataka, India",12-14 year,"​The Product Knowledge team is at the epicenter of eBay’s Tech-driven, Customer-centric overhaul. Our team is entrusted with creating and using eBay’s Product Knowledge - a vast Big Data...","Apache Hadoop,Java Programming,Leadership Skill,Machine learning techniques,Natural Language Processing (NLP),People management,Product Analytics,Product Management,Python Programming,SPARK Programming,SQL",8 May 2025,https://www.karkidi.com/job-details/89294-manager-ml-engineering-tech-leader-t27-job,Full Time,2025-05-20T17:57:19.578324,"['apache hadoop', 'java programming', 'leadership skill', 'machine learning techniques', 'natural language processing', 'people management', 'product analytics', 'product management', 'python programming', 'spark programming', 'sql']",apache hadoop java programming leadership skill machine learning techniques natural language processing people management product analytics product management python programming spark programming sql,5
"Director, Applied Research T28",eBay,"Bengaluru, Karnataka, India",12-14 year,"​The Product Knowledge team is at the epicenter of eBay’s Tech-driven, Customer-centric overhaul. Our team is entrusted with creating and using eBay’s Product Knowledge - a vast Big Data...","Aartificial intelligence,Deep Learning,Machine learning techniques,Natural Language Processing (NLP),Operations,Optimization",8 May 2025,https://www.karkidi.com/job-details/89293-director-applied-research-t28-job,Full Time,2025-05-20T17:57:19.578927,"['aartificial intelligence', 'deep learning', 'machine learning techniques', 'natural language processing', 'operations', 'optimization']",aartificial intelligence deep learning machine learning techniques natural language processing operations optimization,0
"Manager, Data Science - Analytics",eBay,"Bengaluru, Karnataka, India",6-8 year,"The Global Shipping team works closely with product and business partners with the objective to drive success of eBay’s key shipping initiatives through data-driven recommendations, we are a...","Data Analytics,Data science techniques,Effective communication skills,Microsoft-Excel,Python Programming,SQL",8 May 2025,https://www.karkidi.com/job-details/89292-manager-data-science-analytics-job,Full Time,2025-05-20T17:57:19.579502,"['data analytics', 'data science techniques', 'effective communication skills', 'microsoft-excel', 'python programming', 'sql']",data analytics data science techniques effective communication skills microsoft-excel python programming sql,4
Software Engineering Architect T28,eBay,"Bengaluru, Karnataka, India",8-10 year,"​The Product Knowledge team is at the epicenter of eBay’s Tech-driven, Customer-centric overhaul. Our team is entrusted with creating and using eBay’s Product Knowledge - a vast Big Data...","Algorithms,Apache Hadoop,Big Data Technology,Data structuring,Java Programming,Machine learning techniques,Python Programming,Scala Programming",8 May 2025,https://www.karkidi.com/job-details/89291-software-engineering-architect-t28-job,Full Time,2025-05-20T17:57:33.707307,"['algorithms', 'apache hadoop', 'big data technology', 'data structuring', 'java programming', 'machine learning techniques', 'python programming', 'scala programming']",algorithms apache hadoop big data technology data structuring java programming machine learning techniques python programming scala programming,5
Data Engineer,Norstella,India,0-2 year,"At Norstella, our mission is simple: to help our clients bring life-saving therapies to market quicker and help patients in need. Founded in 2022, but with history going back to 1939,...","Amazon Simple Storage Service (S3),Analytical and Problem solving,AWS,Continuous Integration & Continuous Delivery - CI/CD,DevOps,Effective communication skills,Python Programming,SQL",7 May 2025,https://www.karkidi.com/job-details/89286-data-engineer-job,Not found,2025-05-20T17:57:33.708069,"['amazon simple storage service', 'analytical and problem solving', 'aws', 'continuous integration continuous delivery - ci cd', 'devops', 'effective communication skills', 'python programming', 'sql']",amazon simple storage service analytical and problem solving aws continuous integration continuous delivery - ci cd devops effective communication skills python programming sql,2
Program Manager,Norstella,India,10-12 year,"At Norstella, our mission is simple: to help our clients bring life-saving therapies to market quicker and help patients in need. Founded in 2022, but with history going back to 1939,...","Agile methodologies,AI technology,AWS,Azure,Data science techniques,DevOps,Google Cloud Platform (GCP),JIRA,Machine learning techniques,MLOps tools",7 May 2025,https://www.karkidi.com/job-details/89285-program-manager-job,Not found,2025-05-20T17:57:33.708768,"['agile methodologies', 'ai technology', 'aws', 'azure', 'data science techniques', 'devops', 'google cloud platform', 'jira', 'machine learning techniques', 'mlops tools']",agile methodologies ai technology aws azure data science techniques devops google cloud platform jira machine learning techniques mlops tools,3
"Manager, ML Engineering Tech Leader T26",eBay,"Bengaluru, Karnataka, India",10-12 year,"We are looking for seasoned Applied Researchers to join us and help lead improvements, automation, and scaling of our data-heavy processes. Our Senior Researchers tackle such diverse and...","Java Programming,Machine learning techniques,Natural Language Processing (NLP),Python Programming",7 May 2025,https://www.karkidi.com/job-details/89283-manager-ml-engineering-tech-leader-t26-job,Full Time,2025-05-20T17:57:33.709443,"['java programming', 'machine learning techniques', 'natural language processing', 'python programming']",java programming machine learning techniques natural language processing python programming,0
Machine Learning Engineer (T25),eBay,"Bengaluru, Karnataka, India",10-12 year,"​The Product Knowledge team is at the epicenter of eBay’s Tech-driven, Customer-centric overhaul. Our team is entrusted with creating and using eBay’s Product Knowledge - a vast Big Data...","Data structuring,Java Programming,Machine learning techniques,Python Programming,Scala Programming",7 May 2025,https://www.karkidi.com/job-details/89282-machine-learning-engineer-t25-job,Full Time,2025-05-20T17:57:33.710063,"['data structuring', 'java programming', 'machine learning techniques', 'python programming', 'scala programming']",data structuring java programming machine learning techniques python programming scala programming,5
Senior Applied Researcher T27,eBay,"Bengaluru, Karnataka, India",10-12 year,"​We are looking for seasoned Applied Researchers to join us and help lead improvements, automation, and scaling of our data-heavy processes. Our Senior Researchers tackle such diverse and...","Apache Hadoop,Deep Learning,Java Programming,Natural Language Processing (NLP),SPARK Programming,SQL",7 May 2025,https://www.karkidi.com/job-details/89281-senior-applied-researcher-t27-job,Full Time,2025-05-20T17:57:33.710651,"['apache hadoop', 'deep learning', 'java programming', 'natural language processing', 'spark programming', 'sql']",apache hadoop deep learning java programming natural language processing spark programming sql,5
Machine Learning Engineer (T24),eBay,"Bengaluru, Karnataka, India",8-10 year,"​The Product Knowledge team is at the epicenter of eBay’s Tech-driven, Customer-centric overhaul. Our team is entrusted with creating and using eBay’s Product Knowledge - a vast Big Data...","Apache Hadoop,Big Data Technology,Data science techniques,Machine learning techniques,SPARK Programming",7 May 2025,https://www.karkidi.com/job-details/89280-machine-learning-engineer-t24-job,Full Time,2025-05-20T17:57:33.711251,"['apache hadoop', 'big data technology', 'data science techniques', 'machine learning techniques', 'spark programming']",apache hadoop big data technology data science techniques machine learning techniques spark programming,5
"Analytics Manager, eBay",eBay,"Bengaluru, Karnataka, India",8-10 year,"We are currently looking for an Analytics Manager (Individual Contributor) to join us. This role involves partnering with cross-functional teams to fulfill analytic needs, conducting in-depth...","Analytical and Problem solving,Data Analytics,Data science techniques,Machine learning techniques,Microsoft-Excel,SQL,Tableau",7 May 2025,https://www.karkidi.com/job-details/89279-analytics-manager-ebay-job,Full Time,2025-05-20T17:57:33.711855,"['analytical and problem solving', 'data analytics', 'data science techniques', 'machine learning techniques', 'microsoft-excel', 'sql', 'tableau']",analytical and problem solving data analytics data science techniques machine learning techniques microsoft-excel sql tableau,4
Software Engineering TL/Architect,eBay,"Bengaluru, Karnataka, India",8-10 year,"​The Product Knowledge team is at the epicenter of eBay’s Tech-driven, Customer-centric overhaul. Our team is entrusted with creating and using eBay’s Product Knowledge - a vast Big Data...","Algorithms,Apache Hadoop,Big Data Technology,Common data structures,Java Programming,Leadership Skill,Machine learning techniques,Python Programming,Scala Programming,SPARK Programming",7 May 2025,https://www.karkidi.com/job-details/89278-software-engineering-tl-architect-job,Full Time,2025-05-20T17:57:33.712427,"['algorithms', 'apache hadoop', 'big data technology', 'common data structures', 'java programming', 'leadership skill', 'machine learning techniques', 'python programming', 'scala programming', 'spark programming']",algorithms apache hadoop big data technology common data structures java programming leadership skill machine learning techniques python programming scala programming spark programming,5
Machine Learning Engineer Tech Leader,eBay,"Bengaluru, Karnataka, India",8-10 year,"​The Product Knowledge team is at the epicenter of eBay’s Tech-driven, Customer-centric overhaul. Our team is entrusted with creating and using eBay’s Product Knowledge - a vast Big Data...","Algorithms,Apache Hadoop,Big Data Technology,Common data structures,Java Programming,Leadership Skill,Machine learning techniques,Python Programming,Scala Programming,SPARK Programming",7 May 2025,https://www.karkidi.com/job-details/89277-machine-learning-engineer-tech-leader-job,Full Time,2025-05-20T17:57:33.713031,"['algorithms', 'apache hadoop', 'big data technology', 'common data structures', 'java programming', 'leadership skill', 'machine learning techniques', 'python programming', 'scala programming', 'spark programming']",algorithms apache hadoop big data technology common data structures java programming leadership skill machine learning techniques python programming scala programming spark programming,5
"Manager, Data Science – Analytics",eBay,"Bengaluru, Karnataka, India",8-10 year,"The Incentive and loyalty team works closely with product and business partners with the objective to drive success of eBay’s key marketing investments through data-driven recommendations, we...","Data Analytics,Data science techniques,Effective communication skills,PowerBI,Python Programming,QlikView,SQL,Tableau",7 May 2025,https://www.karkidi.com/job-details/89276-manager-data-science-analytics-job,Full Time,2025-05-20T17:57:48.777079,"['data analytics', 'data science techniques', 'effective communication skills', 'powerbi', 'python programming', 'qlikview', 'sql', 'tableau']",data analytics data science techniques effective communication skills powerbi python programming qlikview sql tableau,4
"Associate Manager Data Science, eBay",eBay,"Bengaluru, Karnataka, India",6-8 year,"We are currently looking for an Associate Manager Data Science (Individual Contributor) to join us. This role involves partnering with cross-functional teams to fulfill analytic needs, conducting...","Analytical and Problem solving,Data science techniques,Effective communication skills,Machine learning techniques,Microsoft-Excel,Powerpoint,SQL,Tableau",7 May 2025,https://www.karkidi.com/job-details/89275-associate-manager-data-science-ebay-job,Full Time,2025-05-20T17:57:48.777873,"['analytical and problem solving', 'data science techniques', 'effective communication skills', 'machine learning techniques', 'microsoft-excel', 'powerpoint', 'sql', 'tableau']",analytical and problem solving data science techniques effective communication skills machine learning techniques microsoft-excel powerpoint sql tableau,2
